Titles	Comedy	Romance	Adventure	Biography	Drama	History	Action	Crime	Thriller	Mystery	Scifi	Fantasy	Western	Music	War	Family	Sport	Documentary	Short
escape from the planet of the apes	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-
the abyss	-	-	+	-	+	-	+	-	+	-	+	-	-	-	-	-	-	-	-
l'avventura	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-
agnes of god	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
a hard day's night	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
alien	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-
alien vs. predator	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
election	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
edtv	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enemy of the state	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-
l.a. confidential	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
entrapment	-	+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the english patient	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
star wars: the empire strikes back	-	-	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-
erin brockovich	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rebel without a cause	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
reindeer games	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
shampoo	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
shallow grave	+	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
silver bullet	-	-	+	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the shining	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
sleepy hollow	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-
sister act	+	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-
plastic man	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
platinum blonde	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pleasantville	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
punch-drunk love	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
quills	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
rko 281	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
raging bull	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
rear window	-	+	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
eternal sunshine of the spotless mind	-	+	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-
erik the viking	+	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
event horizon	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-
even cowgirls get the blues	+	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-
drop dead gorgeous	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
donnie darko	-	-	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-
the elephant man	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
duck soup	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
frequency	-	-	-	-	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-
fast times at ridgemont high	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fantastic four	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
lost in translation	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lord of illusions	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-
love & basketball	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
lost souls	-	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
leviathan	-	-	+	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-
last of the mohicans	-	-	+	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-
lone star	-	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-	-	-	-
lock, stock and two smoking barrels	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
true romance	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
twelve monkeys	-	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-
tron	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
true lies	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
the man in the iron mask	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
magnolia	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the magic toyshop	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
traffic	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the lost son	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the messenger	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
the pianist	-	-	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
the piano	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the believer	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rambo: first blood part ii	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
the hebrew hammer	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the leopard man	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
who's your daddy?	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
white angel	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
wild wild west	+	-	-	-	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-
final destination	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the sting	+	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
the thin man	+	+	-	-	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-
the witching hour	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+
what women want	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
predator	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
the big lebowski	+	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-
beloved	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-
being john malkovich	+	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
being there	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
beetle juice	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
beavis and butt-head do america	+	-	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
bean	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
batman	-	-	+	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
batman forever	-	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-	-
batman and robin	-	-	+	-	+	-	+	+	-	-	+	-	-	-	-	-	-	-	-
friday the 13th part iii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the searchers	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-
superman iii	+	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
lake placid	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
the silence of the lambs	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
king kong	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
klute	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
kramer vs. kramer	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kundun	-	-	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-
the lost world: jurassic park	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
jurassic park	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	+	-	-	-
freddy vs. jason	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
kafka	+	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
air force one	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-
affliction	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
airplane!	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
airplane ii: the sequel	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
aliens	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
alien nation	-	-	-	-	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-
an american werewolf in london	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amadeus	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
american outlaws	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-
american madness	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
house on haunted hill	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
hotel rwanda	-	-	+	-	+	+	-	-	+	-	-	-	-	-	+	-	-	-	-
the ice storm	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i walked with a zombie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the hudsucker proxy	+	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
hudson hawk	+	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
cliffhanger	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
a clockwork orange	-	-	-	-	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-
collateral	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
conspiracy theory	-	+	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-
contact	-	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
cool hand luke	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
copycat	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
crash	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
crazy love	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-
crime spree	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
one flew over the cuckoo's nest	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
notting hill	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
on the waterfront	-	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
only you	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
out of sight	+	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
orgy of the dead	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
monkeybone	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
mobsters	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
mighty morphin power rangers	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-
metropolis	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-
metro	+	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
meet john doe	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mash	+	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
marty	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mr. smith goes to washington	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
my mother dreams the satan's disciples in new york	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+
rambling rose	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
quantum project	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+
mystery of the wax museum	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
vampyr	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
maniac	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
psycho	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the producers	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the princess bride	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-
snow falling on cedars	-	+	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
soldier	-	-	-	-	+	-	+	-	-	-	+	-	-	-	-	-	-	-	-
some like it hot	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the wedding date	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sounder	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
south park: bigger longer & uncut	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
star wars: episode vi - return of the jedi	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
red white black & blue	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-
three kings	+	-	+	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-
chinatown	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
nuovo cinema paradiso	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cherry falls	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
chill factor	+	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
the crying game	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
charade	+	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
catwoman	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-
cellular	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the french connection	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the adventures of ford fairlane	+	-	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-
fletch	+	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-
five feet high and rising	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+
five easy pieces	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the fisher king	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
citizen kane	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-
clerks.	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
true believer	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
tremors	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
total recall	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
top gun	-	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-
new nightmare	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-
the war of the worlds	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
the verdict	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
twin peaks: fire walk with me	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
wild at heart	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
white squall	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
signs	-	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
sideways	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
serial mom	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
scary movie 2	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
roughshod	-	+	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	-
reservoir dogs	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
shock treatment	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
shivers	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
sex, lies, and videotape	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the seventh victim	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
dark angel	-	-	-	-	+	-	+	+	+	-	+	-	-	-	-	-	-	-	-
detroit rock city	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
casablanca	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
cast away	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
braveheart	-	-	-	+	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-
the butterfly effect	-	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
croupier	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
dark star	+	-	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-
the cider house rules	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
confidence	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
my girl 2	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-
my girl	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-
my best friend's wedding	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
insomnia	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
natural born killers	-	+	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
nothing but a man	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the negotiator	-	-	-	-	+	-	+	+	+	+	-	-	-	-	-	-	-	-	-
neuromancer	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
never been kissed	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the nightmare before christmas	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-
verdict	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the usual suspects	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
very bad things	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
vertigo	-	+	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
virtuosity	-	-	-	-	-	-	+	+	+	-	+	-	-	-	-	-	-	-	-
viridiana	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tomorrow never dies	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
hellraiser iii: hell on earth	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
transatlantic merry-go-round	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
titanic	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
trouble in paradise	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
ticker	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
thx 1138	-	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
house of the damned	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
toy story	+	-	+	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-
to sleep with anger	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wall street	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
wag the dog	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nashville	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
unforgiven	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-
unbreakable	-	-	-	-	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-
indiana jones and the temple of doom	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-
indiana jones and the last crusade	-	-	+	-	-	-	+	-	+	-	-	+	-	-	-	-	-	-	-
basquiat	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
batman returns	-	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-	-
hope and glory	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
his girl friday	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
assassins	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
asylum	-	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
barton fink	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
basic instinct	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
badlands	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the adventures of buckaroo banzai across the 8th dimension	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
peggy sue got married	+	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
pearl harbor	-	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-
jurassic park iii	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
jerry maguire	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
jennifer eight	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the jazz singer	-	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
jaws: the revenge	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
jaws 3-d	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
jaws 2	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
it's a wonderful life	-	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
isle of the dead	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
i still know what you did last summer	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
a nightmare on elm street 3: dream warriors	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-
a nightmare on elm street part 2: freddy's revenge	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-
tombstone	-	+	-	-	+	+	+	-	-	-	-	-	+	-	-	-	-	-	-
the curse of the cat people	-	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
cruel intentions	-	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the crow	-	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-	-
crouching tiger, hidden dragon	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-
day of the dead	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
dave	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dark city	-	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-
the curse	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
deep rising	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
dead poets society	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
intolerable cruelty	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
it happened one night	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
innerspace	+	-	+	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
the insider	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
jacob's ladder	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
jason x	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
jfk	-	-	-	+	+	+	-	-	+	+	-	-	-	-	-	-	-	-	-
jackie brown	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
jaws	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
juno	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sunset blvd.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sugar & spice	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
stepmom	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
state and main	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
star trek: the motion picture	-	-	+	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-
starship troopers	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
suburbia	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dr. strangelove or: how i learned to stop worrying and love the bomb	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
stranglehold	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
storytelling	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the ghost and the darkness	-	-	+	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
ghost world	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghost ship	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
get shorty	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the graduate	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gladiator	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-
ghostbusters	+	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-
ghostbusters ii	+	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
the grifters	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
grand hotel	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
all about eve	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
all the president's men	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-
sphere	-	-	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-
interview with the vampire: the vampire chronicles	-	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
star wars	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
